invoice_id,property_id,billing_period,invoice_date,due_date,invoice_amount,amount_paid,payment_status,payment_date,dispute_reason,Data_Quality_Flag
INV-0017,P-017,FY2025-Q1,1/15/2025,2/14/2025,$241.61 ,$241.61 ,Paid,2/4/2025,,
INV-0018,P-018,FY2025-Q1,1/15/2025,2/14/2025,"$1,034.88 ","$1,034.88 ",Paid,2/5/2025,,
INV-0019,P-019,FY2025-Q1,1/15/2025,2/14/2025,$523.18 ,$261.59 ,Disputed,,Rate questioned,
INV-0020,P-020,FY2025-Q1,1/15/2025,2/14/2025,$50.74 ,$50.74 ,Paid,2/13/2025,,
INV-0021,P-021,FY2025-Q1,1/15/2025,2/14/2025,"$1,094.46 ","$1,094.46 ",Paid,2/13/2025,,
INV-0022,P-022,FY2025-Q1,1/15/2025,2/14/2025,$180.92 ,$0.00 ,Unpaid,,,
INV-0023,P-023,FY2025-Q1,1/15/2025,2/14/2025,$314.07 ,$0.00 ,Disputed,,Area under review,
INV-0024,P-024,FY2025-Q1,1/15/2025,2/14/2025,$266.83 ,$266.83 ,Paid,2/8/2025,,
INV-0025,P-025,FY2025-Q1,1/15/2025,2/14/2025,$309.57 ,$0.00 ,Past Due,,,
INV-0026,P-026,FY2025-Q1,1/15/2025,2/14/2025,$52.75 ,$0.00 ,Unpaid,,,
INV-0027,P-027,FY2025-Q1,1/15/2025,2/14/2025,$413.48 ,$413.48 ,Paid,2/11/2025,,
INV-0028,P-028,FY2025-Q1,1/15/2025,2/14/2025,$269.12 ,$269.12 ,Paid,2/5/2025,,
INV-0029,P-029,FY2025-Q1,1/15/2025,2/14/2025,$544.75 ,$0.00 ,Past Due,,,
INV-0030,P-030,FY2025-Q1,1/15/2025,2/14/2025,$238.07 ,$238.07 ,Paid,2/9/2025,,
INV-0031,P-031,FY2025-Q1,1/15/2025,2/14/2025,"$1,113.60 ","$1,113.60 ",Paid,2/12/2025,,
INV-0032,P-032,FY2025-Q1,1/15/2025,2/14/2025,$255.68 ,$0.00 ,Unpaid,,,
INV-0033,P-033,FY2025-Q1,1/15/2025,2/14/2025,"$1,177.09 ",$0.00 ,Unpaid,,,
INV-0034,P-034,FY2025-Q1,1/15/2025,,$27.59 ,$27.59 ,Paid,2/9/2025,,Missing due date
INV-0035,P-035,FY2025-Q1,1/15/2025,2/14/2025,$331.26 ,$331.26 ,Paid,2/8/2025,,
INV-0036,P-036,FY2025-Q1,1/15/2025,2/14/2025,$0.00 ,$0.00 ,Paid,2/9/2025,,
INV-0037,P-037,FY2025-Q1,1/15/2025,2/14/2025,$281.50 ,$281.50 ,Paid,2/1/2025,,
INV-0038,P-038,FY2025-Q1,1/15/2025,2/14/2025,$367.29 ,$367.29 ,Paid,2/12/2025,,
INV-0039,P-039,FY2025-Q1,1/15/2025,2/14/2025,$38.05 ,$0.00 ,Past Due,,,
INV-0040,P-040,FY2025-Q1,1/15/2025,2/14/2025,$521.47 ,$521.47 ,Paid,2/12/2025,,
INV-0041,P-041,FY2025-Q1,1/15/2025,2/14/2025,$493.05 ,$493.05 ,Paid,2/3/2025,,
INV-0042,P-042,FY2025-Q1,1/15/2025,2/14/2025,$410.51 ,$0.00 ,Unpaid,,,
INV-0043,P-043,FY2025-Q1,1/15/2025,2/14/2025,$289.93 ,$289.93 ,Paid,2/2/2025,,
INV-0044,P-044,FY2025-Q1,1/15/2025,2/14/2025,$413.95 ,$413.95 ,Paid,2/11/2025,,
INV-0045,P-045,FY2025-Q1,1/15/2025,2/14/2025,"$1,318.27 ","$1,318.27 ",Paid,2/3/2025,,
INV-0046,P-046,FY2025-Q1,1/15/2025,2/14/2025,"$1,287.62 ","$1,287.62 ",Paid,2/3/2025,,
INV-0047,P-047,FY2025-Q1,1/15/2025,2/14/2025,"$1,147.01 ","$1,147.01 ",Paid,2/9/2025,,
INV-0048,P-048,FY2025-Q1,1/15/2025,2/14/2025,"$1,387.14 ",$0.00 ,Paid,,,Payment status mismatch
INV-0049,P-049,FY2025-Q1,1/15/2025,2/14/2025,$245.04 ,$0.00 ,Past Due,,,
INV-0050,P-050,FY2025-Q1,1/15/2025,2/14/2025,"$1,238.40 ",$0.00 ,Unpaid,,,
INV-0051,P-051,FY2025-Q1,1/15/2025,2/14/2025,$405.99 ,$0.00 ,Unpaid,,,
INV-0052,P-052,FY2025-Q1,1/15/2025,2/14/2025,$28.01 ,$0.00 ,Unpaid,,,
INV-0053,P-053,FY2025-Q1,1/15/2025,2/14/2025,$39.82 ,$39.82 ,Paid,2/4/2025,,
INV-0054,P-054,FY2025-Q1,1/15/2025,2/14/2025,$446.32 ,$446.32 ,Paid,2/13/2025,,
INV-0055,P-055,FY2025-Q1,1/15/2025,2/14/2025,"$1,400.26 ","$1,400.26 ",Paid,2/3/2025,,
INV-0056,P-056,FY2025-Q1,1/15/2025,2/14/2025,$646.04 ,$646.04 ,Paid,2/2/2025,,
INV-0057,P-057,FY2025-Q1,1/15/2025,2/14/2025,$481.38 ,$0.00 ,Past Due,,,
INV-0058,P-058,FY2025-Q1,1/15/2025,2/14/2025,$351.82 ,$351.82 ,Paid,2/7/2025,,
INV-0059,P-059,FY2025-Q1,1/15/2025,2/14/2025,"$1,345.15 ",$0.00 ,Disputed,,Area under review,
INV-0060,P-060,FY2025-Q1,1/15/2025,2/14/2025,$478.97 ,$478.97 ,Paid,2/9/2025,,
INV-0061,P-001,FY2025-Q2,4/15/2025,5/15/2025,$404.87 ,$404.87 ,Paid,5/2/2025,,
INV-0062,P-002,FY2025-Q2,4/15/2025,5/15/2025,$287.60 ,$287.60 ,Paid,5/7/2025,,
INV-0063,P-003,FY2025-Q2,4/15/2025,5/15/2025,$377.92 ,$377.92 ,Paid,5/10/2025,,
INV-0064,P-004,FY2025-Q2,4/15/2025,5/15/2025,$35.04 ,$35.04 ,Paid,5/7/2025,,
INV-0065,P-005,FY2025-Q2,4/15/2025,5/15/2025,$499.74 ,$0.00 ,Unpaid,,,
INV-0066,P-006,FY2025-Q2,4/15/2025,5/15/2025,$383.20 ,$383.20 ,Paid,5/5/2025,,
INV-0067,P-007,FY2025-Q2,4/15/2025,5/15/2025,$49.88 ,$49.88 ,Paid,5/5/2025,,
INV-0068,P-008,FY2025-Q2,4/15/2025,5/15/2025,"$1,079.39 ",$0.00 ,Unpaid,,,
INV-0069,P-009,FY2025-Q2,4/15/2025,5/15/2025,$30.70 ,$0.00 ,Disputed,,Rate questioned,
INV-0070,P-010,FY2025-Q2,4/15/2025,5/15/2025,$399.80 ,$399.80 ,Paid,5/1/2025,,
INV-0071,P-011,FY2025-Q2,4/15/2025,5/15/2025,$282.87 ,$282.87 ,Paid,5/14/2025,,
INV-0072,P-012,FY2025-Q2,4/15/2025,5/15/2025,$351.13 ,$351.13 ,Paid,5/14/2025,,
INV-0073,P-013,FY2025-Q2,4/15/2025,5/15/2025,$249.74 ,$0.00 ,Unpaid,,,
INV-0074,P-014,FY2025-Q2,4/15/2025,5/15/2025,$538.31 ,$0.00 ,Unpaid,,,
INV-0075,P-015,FY2025-Q2,4/15/2025,5/15/2025,$318.38 ,$0.00 ,Past Due,,,
INV-0076,P-016,FY2025-Q2,4/15/2025,5/15/2025,$465.40 ,$465.40 ,Paid,5/11/2025,,
INV-0077,P-017,FY2025-Q2,4/15/2025,5/15/2025,$244.81 ,$244.81 ,Paid,5/2/2025,,
INV-0078,P-018,FY2025-Q2,4/15/2025,5/15/2025,"$1,047.93 ",$0.00 ,Unpaid,,,
INV-0079,P-019,FY2025-Q2,4/15/2025,5/15/2025,$536.60 ,$0.00 ,Unpaid,,,
INV-0080,P-020,FY2025-Q2,4/15/2025,5/15/2025,$51.94 ,$51.94 ,Paid,5/11/2025,,
INV-0081,P-021,FY2025-Q2,4/15/2025,5/15/2025,"$1,108.44 ","$1,108.44 ",Paid,5/12/2025,,
INV-0082,P-022,FY2025-Q2,4/15/2025,5/15/2025,$181.90 ,$181.90 ,Paid,5/3/2025,,
INV-0083,P-999,FY2025-Q2,4/15/2025,5/15/2025,$322.12 ,$0.00 ,Past Due,,,Invalid property ID
INV-0084,P-024,FY2025-Q2,4/15/2025,5/15/2025,$270.52 ,$270.52 ,Paid,5/2/2025,,
INV-0085,P-025,FY2025-Q2,4/15/2025,5/15/2025,$314.08 ,$314.08 ,Paid,5/7/2025,,
INV-0086,P-026,FY2025-Q2,4/15/2025,5/15/2025,$54.01 ,$54.01 ,Paid,5/10/2025,,
INV-0087,P-027,FY2025-Q2,4/15/2025,5/15/2025,$418.54 ,$418.54 ,Paid,5/1/2025,,
INV-0088,P-028,FY2025-Q2,4/15/2025,5/15/2025,$272.85 ,$272.85 ,Paid,5/4/2025,,
INV-0089,P-029,FY2025-Q2,4/15/2025,5/15/2025,$552.11 ,$552.11 ,Paid,5/12/2025,,
INV-0090,P-030,FY2025-Q2,4/15/2025,5/15/2025,$241.21 ,$241.21 ,Paid,5/3/2025,,
INV-0091,P-031,FY2025-Q2,4/15/2025,5/15/2025,"$1,127.88 ","$1,127.88 ",Paid,5/4/2025,,
INV-0092,P-032,FY2025-Q2,4/15/2025,5/15/2025,$262.24 ,$262.24 ,Past Due,5/8/2025,,
INV-0093,P-033,FY2025-Q2,4/15/2025,5/15/2025,"$1,192.36 ","$1,192.36 ",Paid,5/13/2025,,
INV-0094,P-034,FY2025-Q2,4/15/2025,5/15/2025,$28.25 ,$0.00 ,Unpaid,,,
INV-0095,P-035,FY2025-Q2,4/15/2025,5/15/2025,$336.18 ,$0.00 ,Past Due,,,
INV-0096,P-036,FY2025-Q2,4/15/2025,5/15/2025,$0.00 ,$0.00 ,Unpaid,,,
INV-0097,P-037,FY2025-Q2,4/15/2025,5/15/2025,$288.72 ,$288.72 ,Paid,5/14/2025,,
INV-0098,P-038,FY2025-Q2,4/15/2025,5/15/2025,$372.91 ,$372.91 ,Paid,5/10/2025,,
INV-0099,P-039,FY2025-Q2,4/15/2025,5/15/2025,$38.96 ,$38.96 ,Paid,5/8/2025,,
INV-0100,P-040,FY2025-Q2,4/15/2025,5/15/2025,$534.84 ,$534.84 ,Paid,5/11/2025,,
INV-0101,P-041,FY2025-Q2,4/15/2025,5/15/2025,$499.51 ,$499.51 ,Paid,5/3/2025,,
INV-0102,P-042,FY2025-Q2,4/15/2025,5/15/2025,$415.52 ,$415.52 ,Paid,5/4/2025,,
INV-0103,P-043,FY2025-Q2,4/15/2025,5/15/2025,$297.36 ,$297.36 ,Paid,5/13/2025,,
INV-0104,P-044,FY2025-Q2,4/15/2025,5/15/2025,$424.56 ,$0.00 ,Unpaid,,,
INV-0105,P-045,FY2025-Q2,4/15/2025,5/15/2025,"$1,335.75 ",$0.00 ,Past Due,,,
INV-0106,P-046,FY2025-Q2,4/15/2025,5/15/2025,"$1,304.61 ","$1,304.61 ",Paid,5/9/2025,,
INV-0107,P-047,FY2025-Q2,4/15/2025,5/15/2025,"$1,161.81 ","$1,161.81 ",Paid,5/2/2025,,
INV-0108,P-048,FY2025-Q2,4/15/2025,5/15/2025,"$1,405.69 ","$1,405.69 ",Paid,5/9/2025,,
INV-0109,P-049,FY2025-Q2,4/15/2025,5/15/2025,$248.31 ,$248.31 ,Paid,5/10/2025,,
INV-0110,P-050,FY2025-Q2,4/15/2025,5/15/2025,"$1,254.63 ","$1,254.63 ",Paid,5/8/2025,,
INV-0111,P-051,FY2025-Q2,4/15/2025,5/15/2025,$416.40 ,$416.40 ,Paid,5/5/2025,,
INV-0112,P-052,FY2025-Q2,4/15/2025,5/15/2025,$28.68 ,$0.00 ,Unpaid,,,
INV-0113,P-053,FY2025-Q2,4/15/2025,5/15/2025,$40.76 ,$40.76 ,Paid,5/6/2025,,
INV-0114,P-054,FY2025-Q2,4/15/2025,5/15/2025,$457.76 ,$457.76 ,Paid,5/14/2025,,
INV-0115,P-055,FY2025-Q2,4/15/2025,5/15/2025,"$1,419.01 ",$0.00 ,Past Due,,,
INV-0116,P-056,FY2025-Q2,4/15/2025,5/15/2025,$655.18 ,$655.18 ,Paid,5/13/2025,,
INV-0117,P-057,FY2025-Q2,4/15/2025,5/15/2025,$493.72 ,$493.72 ,Paid,5/4/2025,,
INV-0118,P-058,FY2025-Q2,4/15/2025,5/15/2025,$360.84 ,$360.84 ,Paid,5/1/2025,,
INV-0119,P-059,FY2025-Q2,4/15/2025,5/15/2025,"$1,363.05 ","$1,363.05 ",Paid,5/3/2025,,
INV-0120,P-060,FY2025-Q2,4/15/2025,5/15/2025,$485.18 ,$0.00 ,Past Due,,,

