invoice_id,property_id,billing_period,invoice_date,due_date,invoice_amount,amount_paid,payment_status,payment_date,dispute_reason,billing_flag,city,property_type,impervious_area_sqft,owner_name,account_status,property_flag,rate_per_sqft,base_fee,expected_amount,billing_variance,outstanding_balance,final_quality_flag
INV-0029,P-029,FY2025-Q1,1/15/2025,2/14/2025,544.75,0.0,Past Due,,,,San Ramon,Commercial,7364.0,City Facilities Division,Active,,0.057,125.0,544.75,0.0,544.75,
INV-0030,P-030,FY2025-Q1,1/15/2025,2/14/2025,238.07,238.07,Paid,2/9/2025,,,Dublin,Mixed Use,3136.0,Ramirez Family Trust,Active,,0.052,75.0,238.07,0.0,0.0,
INV-0031,P-031,FY2025-Q1,1/15/2025,2/14/2025,1113.6,1113.6,Paid,2/12/2025,,,San Ramon,Industrial,14275.0,Ramirez Family Trust,Active,,0.064,200.0,1113.6,0.0,0.0,
INV-0032,P-032,FY2025-Q1,1/15/2025,2/14/2025,255.68,0.0,Unpaid,,,,Walnut Creek,Municipal,6556.0,East Bay Retail Group,Inactive,,0.039,0.0,255.68,0.0,255.68,
INV-0033,P-033,FY2025-Q1,1/15/2025,2/14/2025,1177.09,0.0,Unpaid,,,,Walnut Creek,Industrial,15267.0,Morgan Properties,Active,,0.064,200.0,1177.09,0.0,1177.09,
INV-0034,P-034,FY2025-Q1,1/15/2025,,27.59,27.59,Paid,2/9/2025,,Missing due date,Walnut Creek,Residential,657.0,East Bay Retail Group,Active,,0.042,0.0,27.59,0.0,0.0,Missing due date
INV-0035,P-035,FY2025-Q1,1/15/2025,2/14/2025,331.26,331.26,Paid,2/8/2025,,,Dublin,Mixed Use,4928.0,Greenway Partners,Active,,0.052,75.0,331.26,0.0,0.0,
INV-0036,P-036,FY2025-Q1,1/15/2025,2/14/2025,0.0,0.0,Paid,2/9/2025,,,Dublin,Residential,-450.0,East Bay Retail Group,Active,Invalid negative impervious area,0.042,0.0,,,0.0,Invalid negative impervious area
INV-0037,P-037,FY2025-Q1,1/15/2025,2/14/2025,281.5,281.5,Paid,2/1/2025,,,Danville,Municipal,7218.0,Ramirez Family Trust,Active,,0.039,0.0,281.5,0.0,0.0,
INV-0038,P-038,FY2025-Q1,1/15/2025,2/14/2025,367.29,367.29,Paid,2/12/2025,,,Pleasanton,Mixed Use,5621.0,Ramirez Family Trust,Inactive,,0.052,75.0,367.29,0.0,0.0,
INV-0039,P-039,FY2025-Q1,1/15/2025,2/14/2025,38.05,0.0,Past Due,,,,Pleasanton,Residential,906.0,Tri-Valley Holdings,Active,,0.042,0.0,38.05,0.0,38.05,
INV-0040,P-040,FY2025-Q1,1/15/2025,2/14/2025,521.47,521.47,Paid,2/12/2025,,,Dublin,Municipal,13371.0,Tri-Valley Holdings,Active,,0.039,0.0,521.47,0.0,0.0,
INV-0041,P-041,FY2025-Q1,1/15/2025,2/14/2025,493.05,493.05,Paid,2/3/2025,,,Pleasanton,Commercial,6457.0,Canyon Creek LLC,Active,,0.057,125.0,493.05,0.0,0.0,
INV-0042,P-042,FY2025-Q1,1/15/2025,2/14/2025,410.51,0.0,Unpaid,,,,Pleasanton,Commercial,5009.0,East Bay Retail Group,Active,,0.057,125.0,410.51,0.0,410.51,
INV-0043,P-043,FY2025-Q1,1/15/2025,2/14/2025,289.93,289.93,Paid,2/2/2025,,,San Ramon,Municipal,7434.0,Bayview Properties,Active,,0.039,0.0,289.93,0.0,0.0,
INV-0044,P-044,FY2025-Q1,1/15/2025,2/14/2025,413.95,413.95,Paid,2/11/2025,,,San Ramon,Municipal,10614.0,Bayview Properties,Active,,0.039,0.0,413.95,0.0,0.0,
INV-0045,P-045,FY2025-Q1,1/15/2025,2/14/2025,1318.27,1318.27,Paid,2/3/2025,,,Walnut Creek,Industrial,17473.0,Ramirez Family Trust,Inactive,,0.064,200.0,1318.27,0.0,0.0,
INV-0046,P-046,FY2025-Q1,1/15/2025,2/14/2025,1287.62,1287.62,Paid,2/3/2025,,,Danville,Industrial,16994.0,City Facilities Division,Active,,0.064,200.0,1287.62,0.0,0.0,
INV-0047,P-047,FY2025-Q1,1/15/2025,2/14/2025,1147.01,1147.01,Paid,2/9/2025,,,Pleasanton,Industrial,14797.0,Canyon Creek LLC,Inactive,,0.064,200.0,1147.01,0.0,0.0,
INV-0048,P-048,FY2025-Q1,1/15/2025,2/14/2025,1387.14,0.0,Paid,,,Payment status mismatch,Dublin,Industrial,18549.0,Bayview Properties,Active,,0.064,200.0,1387.14,0.0,1387.14,Payment status mismatch
INV-0049,P-049,FY2025-Q1,1/15/2025,2/14/2025,245.04,0.0,Past Due,,,,Dublin,Mixed Use,3270.0,Tri-Valley Holdings,Active,,0.052,75.0,245.04,0.0,245.04,
INV-0050,P-050,FY2025-Q1,1/15/2025,2/14/2025,1238.4,0.0,Unpaid,,,,Pleasanton,Industrial,16225.0,Tri-Valley Holdings,Active,,0.064,200.0,1238.4,0.0,1238.4,
INV-0051,P-051,FY2025-Q1,1/15/2025,2/14/2025,405.99,0.0,Unpaid,,,,Danville,Municipal,10410.0,Tri-Valley Holdings,Active,,0.039,0.0,405.99,0.0,405.99,
INV-0052,P-052,FY2025-Q1,1/15/2025,2/14/2025,28.01,0.0,Unpaid,,,,Danville,Residential,667.0,Greenway Partners,Active,,0.042,0.0,28.01,0.0,28.01,
INV-0053,P-053,FY2025-Q1,1/15/2025,2/14/2025,39.82,39.82,Paid,2/4/2025,,,Danville,Residential,948.0,Tri-Valley Holdings,Active,,0.042,0.0,39.82,0.0,0.0,
INV-0054,P-054,FY2025-Q1,1/15/2025,2/14/2025,446.32,446.32,Paid,2/13/2025,,,San Ramon,Municipal,11444.0,Morgan Properties,Active,,0.039,0.0,446.32,0.0,0.0,
INV-0055,P-055,FY2025-Q1,1/15/2025,2/14/2025,1400.26,1400.26,Paid,2/3/2025,,,Walnut Creek,Industrial,18754.0,City Facilities Division,Active,,0.064,200.0,1400.26,0.0,0.0,
INV-0056,P-056,FY2025-Q1,1/15/2025,2/14/2025,646.04,646.04,Paid,2/2/2025,,,San Ramon,Commercial,9141.0,Canyon Creek LLC,Inactive,,0.057,125.0,646.04,0.0,0.0,
INV-0057,P-057,FY2025-Q1,1/15/2025,2/14/2025,481.38,0.0,Past Due,,,,Walnut Creek,Municipal,12343.0,Greenway Partners,Active,,0.039,0.0,481.38,0.0,481.38,
INV-0058,P-058,FY2025-Q1,1/15/2025,2/14/2025,351.82,351.82,Paid,2/7/2025,,,Danville,Municipal,9021.0,Greenway Partners,Inactive,,0.039,0.0,351.82,0.0,0.0,
INV-0059,P-059,FY2025-Q1,1/15/2025,2/14/2025,1345.15,0.0,Disputed,,Area under review,,Danville,Industrial,17893.0,Ramirez Family Trust,Active,,0.064,200.0,1345.15,0.0,1345.15,
INV-0060,P-060,FY2025-Q1,1/15/2025,2/14/2025,478.97,478.97,Paid,2/9/2025,,,Danville,Commercial,6210.0,Canyon Creek LLC,Active,,0.057,125.0,478.97,0.0,0.0,
INV-0061,P-001,FY2025-Q2,4/15/2025,5/15/2025,404.87,404.87,Paid,5/2/2025,,,Pleasanton,Mixed Use,6224.0,Greenway Partners,Active,,0.053,75.0,404.87,0.0,0.0,
INV-0062,P-002,FY2025-Q2,4/15/2025,5/15/2025,287.6,287.6,Paid,5/7/2025,,,Danville,Municipal,7190.0,City Facilities Division,Inactive,,0.04,0.0,287.6,0.0,0.0,
INV-0063,P-003,FY2025-Q2,4/15/2025,5/15/2025,377.92,377.92,Paid,5/10/2025,,,Pleasanton,Municipal,9448.0,Tri-Valley Holdings,Inactive,,0.04,0.0,377.92,0.0,0.0,
INV-0064,P-004,FY2025-Q2,4/15/2025,5/15/2025,35.04,35.04,Paid,5/7/2025,,,Danville,Residential,815.0,City Facilities Division,Active,,0.043,0.0,35.04,0.0,0.0,
INV-0065,P-005,FY2025-Q2,4/15/2025,5/15/2025,499.74,0.0,Unpaid,,,,Danville,Commercial,6461.0,Ramirez Family Trust,Inactive,,0.058,125.0,499.74,0.0,499.74,
INV-0066,P-006,FY2025-Q2,4/15/2025,5/15/2025,383.2,383.2,Paid,5/5/2025,,,Pleasanton,Mixed Use,5815.0,Bayview Properties,Active,,0.053,75.0,383.19,0.01,0.0,
INV-0067,P-007,FY2025-Q2,4/15/2025,5/15/2025,49.88,49.88,Paid,5/5/2025,,,San Ramon,Residential,1160.0,Morgan Properties,Active,,0.043,0.0,49.88,0.0,0.0,
INV-0068,P-008,FY2025-Q2,4/15/2025,5/15/2025,1079.39,0.0,Unpaid,,,,Dublin,Industrial,13529.0,Bayview Properties,Active,,0.065,200.0,1079.38,0.01,1079.39,
INV-0069,P-009,FY2025-Q2,4/15/2025,5/15/2025,30.7,0.0,Disputed,,Rate questioned,,Dublin,Residential,714.0,Morgan Properties,Active,,0.043,0.0,30.7,0.0,30.7,
INV-0070,P-010,FY2025-Q2,4/15/2025,5/15/2025,399.8,399.8,Paid,5/1/2025,,,San Ramon,Commercial,4738.0,Morgan Properties,Active,,0.058,125.0,399.8,0.0,0.0,
INV-0071,P-011,FY2025-Q2,4/15/2025,5/15/2025,282.87,282.87,Paid,5/14/2025,,,San Ramon,Mixed Use,3922.0,Ramirez Family Trust,Active,,0.053,75.0,282.87,0.0,0.0,
INV-0072,P-012,FY2025-Q2,4/15/2025,5/15/2025,351.13,351.13,Paid,5/14/2025,,,Dublin,Mixed Use,5210.0,Morgan Properties,Active,,0.053,75.0,351.13,0.0,0.0,
INV-0073,P-013,FY2025-Q2,4/15/2025,5/15/2025,249.74,0.0,Unpaid,,,,Walnut Creek,Mixed Use,3297.0,Canyon Creek LLC,Active,Missing parcel ID,0.053,75.0,249.74,0.0,249.74,Missing parcel ID
INV-0074,P-014,FY2025-Q2,4/15/2025,5/15/2025,538.31,0.0,Unpaid,,,,Walnut Creek,Commercial,7126.0,Canyon Creek LLC,Active,,0.058,125.0,538.31,0.0,538.31,
INV-0075,P-015,FY2025-Q2,4/15/2025,5/15/2025,318.38,0.0,Past Due,,,,San Ramon,Mixed Use,4592.0,City Facilities Division,Active,,0.053,75.0,318.38,0.0,318.38,
INV-0076,P-016,FY2025-Q2,4/15/2025,5/15/2025,465.4,465.4,Paid,5/11/2025,,,Danville,Commercial,5869.0,Greenway Partners,Active,,0.058,125.0,465.4,0.0,0.0,
INV-0077,P-017,FY2025-Q2,4/15/2025,5/15/2025,244.81,244.81,Paid,5/2/2025,,,Pleasanton,Mixed Use,3204.0,Tri-Valley Holdings,Active,,0.053,75.0,244.81,0.0,0.0,
INV-0078,P-018,FY2025-Q2,4/15/2025,5/15/2025,1047.93,0.0,Unpaid,,,,Dublin,Industrial,13045.0,City Facilities Division,Active,,0.065,200.0,1047.93,0.0,1047.93,
INV-0079,P-019,FY2025-Q2,4/15/2025,5/15/2025,536.6,0.0,Unpaid,,,,Walnut Creek,Municipal,13415.0,Tri-Valley Holdings,Active,,0.04,0.0,536.6,0.0,536.6,
INV-0080,P-020,FY2025-Q2,4/15/2025,5/15/2025,51.94,51.94,Paid,5/11/2025,,,San Ramon,Residential,1208.0,Greenway Partners,Active,,0.043,0.0,51.94,0.0,0.0,
INV-0081,P-021,FY2025-Q2,4/15/2025,5/15/2025,1108.44,1108.44,Paid,5/12/2025,,,Dublin,Industrial,13976.0,Bayview Properties,Active,,0.065,200.0,1108.44,0.0,0.0,
INV-0082,P-022,FY2025-Q2,4/15/2025,5/15/2025,181.9,181.9,Paid,5/3/2025,,,Pleasanton,Commercial,981.0,East Bay Retail Group,Active,,0.058,125.0,181.9,0.0,0.0,
INV-0083,P-999,FY2025-Q2,4/15/2025,5/15/2025,322.12,0.0,Past Due,,,Invalid property ID,,,,,,,,,,,322.12,Invalid property ID
INV-0084,P-024,FY2025-Q2,4/15/2025,5/15/2025,270.52,270.52,Paid,5/2/2025,,,San Ramon,Mixed Use,3689.0,Greenway Partners,Active,,0.053,75.0,270.52,0.0,0.0,
INV-0085,P-025,FY2025-Q2,4/15/2025,5/15/2025,314.08,314.08,Paid,5/7/2025,,,Walnut Creek,Mixed Use,4511.0,Tri-Valley Holdings,Active,,0.053,75.0,314.08,0.0,0.0,
INV-0086,P-026,FY2025-Q2,4/15/2025,5/15/2025,54.01,54.01,Paid,5/10/2025,,,Walnut Creek,Residential,1256.0,Ramirez Family Trust,Inactive,,0.043,0.0,54.01,0.0,0.0,
INV-0087,P-027,FY2025-Q2,4/15/2025,5/15/2025,418.54,418.54,Paid,5/1/2025,,,San Ramon,Commercial,5061.0,Greenway Partners,Inactive,,0.058,125.0,418.54,0.0,0.0,
INV-0088,P-028,FY2025-Q2,4/15/2025,5/15/2025,272.85,272.85,Paid,5/4/2025,,,San Ramon,Mixed Use,3733.0,Ramirez Family Trust,Active,,0.053,75.0,272.85,0.0,0.0,
INV-0089,P-029,FY2025-Q2,4/15/2025,5/15/2025,552.11,552.11,Paid,5/12/2025,,,San Ramon,Commercial,7364.0,City Facilities Division,Active,,0.058,125.0,552.11,0.0,0.0,
INV-0090,P-030,FY2025-Q2,4/15/2025,5/15/2025,241.21,241.21,Paid,5/3/2025,,,Dublin,Mixed Use,3136.0,Ramirez Family Trust,Active,,0.053,75.0,241.21,0.0,0.0,
INV-0091,P-031,FY2025-Q2,4/15/2025,5/15/2025,1127.88,1127.88,Paid,5/4/2025,,,San Ramon,Industrial,14275.0,Ramirez Family Trust,Active,,0.065,200.0,1127.88,0.0,0.0,
INV-0092,P-032,FY2025-Q2,4/15/2025,5/15/2025,262.24,262.24,Past Due,5/8/2025,,,Walnut Creek,Municipal,6556.0,East Bay Retail Group,Inactive,,0.04,0.0,262.24,0.0,0.0,
INV-0093,P-033,FY2025-Q2,4/15/2025,5/15/2025,1192.36,1192.36,Paid,5/13/2025,,,Walnut Creek,Industrial,15267.0,Morgan Properties,Active,,0.065,200.0,1192.36,0.0,0.0,
INV-0094,P-034,FY2025-Q2,4/15/2025,5/15/2025,28.25,0.0,Unpaid,,,,Walnut Creek,Residential,657.0,East Bay Retail Group,Active,,0.043,0.0,28.25,0.0,28.25,
INV-0095,P-035,FY2025-Q2,4/15/2025,5/15/2025,336.18,0.0,Past Due,,,,Dublin,Mixed Use,4928.0,Greenway Partners,Active,,0.053,75.0,336.18,0.0,336.18,
INV-0096,P-036,FY2025-Q2,4/15/2025,5/15/2025,0.0,0.0,Unpaid,,,,Dublin,Residential,-450.0,East Bay Retail Group,Active,Invalid negative impervious area,0.043,0.0,,,0.0,Invalid negative impervious area
INV-0097,P-037,FY2025-Q2,4/15/2025,5/15/2025,288.72,288.72,Paid,5/14/2025,,,Danville,Municipal,7218.0,Ramirez Family Trust,Active,,0.04,0.0,288.72,0.0,0.0,
INV-0098,P-038,FY2025-Q2,4/15/2025,5/15/2025,372.91,372.91,Paid,5/10/2025,,,Pleasanton,Mixed Use,5621.0,Ramirez Family Trust,Inactive,,0.053,75.0,372.91,0.0,0.0,
INV-0099,P-039,FY2025-Q2,4/15/2025,5/15/2025,38.96,38.96,Paid,5/8/2025,,,Pleasanton,Residential,906.0,Tri-Valley Holdings,Active,,0.043,0.0,38.96,0.0,0.0,
INV-0100,P-040,FY2025-Q2,4/15/2025,5/15/2025,534.84,534.84,Paid,5/11/2025,,,Dublin,Municipal,13371.0,Tri-Valley Holdings,Active,,0.04,0.0,534.84,0.0,0.0,
INV-0101,P-041,FY2025-Q2,4/15/2025,5/15/2025,499.51,499.51,Paid,5/3/2025,,,Pleasanton,Commercial,6457.0,Canyon Creek LLC,Active,,0.058,125.0,499.51,0.0,0.0,
INV-0102,P-042,FY2025-Q2,4/15/2025,5/15/2025,415.52,415.52,Paid,5/4/2025,,,Pleasanton,Commercial,5009.0,East Bay Retail Group,Active,,0.058,125.0,415.52,0.0,0.0,
INV-0103,P-043,FY2025-Q2,4/15/2025,5/15/2025,297.36,297.36,Paid,5/13/2025,,,San Ramon,Municipal,7434.0,Bayview Properties,Active,,0.04,0.0,297.36,0.0,0.0,
INV-0104,P-044,FY2025-Q2,4/15/2025,5/15/2025,424.56,0.0,Unpaid,,,,San Ramon,Municipal,10614.0,Bayview Properties,Active,,0.04,0.0,424.56,0.0,424.56,
INV-0105,P-045,FY2025-Q2,4/15/2025,5/15/2025,1335.75,0.0,Past Due,,,,Walnut Creek,Industrial,17473.0,Ramirez Family Trust,Inactive,,0.065,200.0,1335.75,0.0,1335.75,
INV-0106,P-046,FY2025-Q2,4/15/2025,5/15/2025,1304.61,1304.61,Paid,5/9/2025,,,Danville,Industrial,16994.0,City Facilities Division,Active,,0.065,200.0,1304.61,0.0,0.0,
INV-0107,P-047,FY2025-Q2,4/15/2025,5/15/2025,1161.81,1161.81,Paid,5/2/2025,,,Pleasanton,Industrial,14797.0,Canyon Creek LLC,Inactive,,0.065,200.0,1161.81,0.0,0.0,
INV-0108,P-048,FY2025-Q2,4/15/2025,5/15/2025,1405.69,1405.69,Paid,5/9/2025,,,Dublin,Industrial,18549.0,Bayview Properties,Active,,0.065,200.0,1405.68,0.01,0.0,
INV-0109,P-049,FY2025-Q2,4/15/2025,5/15/2025,248.31,248.31,Paid,5/10/2025,,,Dublin,Mixed Use,3270.0,Tri-Valley Holdings,Active,,0.053,75.0,248.31,0.0,0.0,
INV-0110,P-050,FY2025-Q2,4/15/2025,5/15/2025,1254.63,1254.63,Paid,5/8/2025,,,Pleasanton,Industrial,16225.0,Tri-Valley Holdings,Active,,0.065,200.0,1254.63,0.0,0.0,
INV-0111,P-051,FY2025-Q2,4/15/2025,5/15/2025,416.4,416.4,Paid,5/5/2025,,,Danville,Municipal,10410.0,Tri-Valley Holdings,Active,,0.04,0.0,416.4,0.0,0.0,
INV-0112,P-052,FY2025-Q2,4/15/2025,5/15/2025,28.68,0.0,Unpaid,,,,Danville,Residential,667.0,Greenway Partners,Active,,0.043,0.0,28.68,0.0,28.68,
INV-0113,P-053,FY2025-Q2,4/15/2025,5/15/2025,40.76,40.76,Paid,5/6/2025,,,Danville,Residential,948.0,Tri-Valley Holdings,Active,,0.043,0.0,40.76,0.0,0.0,
INV-0114,P-054,FY2025-Q2,4/15/2025,5/15/2025,457.76,457.76,Paid,5/14/2025,,,San Ramon,Municipal,11444.0,Morgan Properties,Active,,0.04,0.0,457.76,0.0,0.0,
INV-0115,P-055,FY2025-Q2,4/15/2025,5/15/2025,1419.01,0.0,Past Due,,,,Walnut Creek,Industrial,18754.0,City Facilities Division,Active,,0.065,200.0,1419.01,0.0,1419.01,
INV-0116,P-056,FY2025-Q2,4/15/2025,5/15/2025,655.18,655.18,Paid,5/13/2025,,,San Ramon,Commercial,9141.0,Canyon Creek LLC,Inactive,,0.058,125.0,655.18,0.0,0.0,
INV-0117,P-057,FY2025-Q2,4/15/2025,5/15/2025,493.72,493.72,Paid,5/4/2025,,,Walnut Creek,Municipal,12343.0,Greenway Partners,Active,,0.04,0.0,493.72,0.0,0.0,
INV-0118,P-058,FY2025-Q2,4/15/2025,5/15/2025,360.84,360.84,Paid,5/1/2025,,,Danville,Municipal,9021.0,Greenway Partners,Inactive,,0.04,0.0,360.84,0.0,0.0,
INV-0119,P-059,FY2025-Q2,4/15/2025,5/15/2025,1363.05,1363.05,Paid,5/3/2025,,,Danville,Industrial,17893.0,Ramirez Family Trust,Active,,0.065,200.0,1363.05,0.0,0.0,
INV-0120,P-060,FY2025-Q2,4/15/2025,5/15/2025,485.18,0.0,Past Due,,,,Danville,Commercial,6210.0,Canyon Creek LLC,Active,,0.058,125.0,485.18,0.0,485.18,
