property_id,service_address,city,zip_code,parcel_id,property_type,impervious_area_sqft,owner_name,account_status,Data_quality_flag.
P-018,780 Crow Canyon Pl,Dublin,94568,APN-120018,Industrial,"13,045",City Facilities Division,Active,
P-019,6555 Camino Ramon,Walnut Creek,94596,APN-120019,Municipal,"13,415",Tri-Valley Holdings,Active,
P-020,6196 Camino Ramon,San Ramon,94582,APN-120020,Residential,"1,208",Greenway Partners,Active,
P-021,3680 Alcosta Blvd,Dublin,94568,APN-120021,Industrial,"13,976",Bayview Properties,Active,
P-022,3859 Pine Valley Rd,Pleasanton,94566,APN-120022,Commercial,981,East Bay Retail Group,Active,
P-023,8176 Crow Canyon Pl,San Ramon,94582,APN-120023,Municipal,"8,053",Greenway Partners,Active,
P-024,2361 Dougherty Rd,San Ramon,94582,APN-120024,Mixed Use,"3,689",Greenway Partners,Active,
P-025,6909 Pine Valley Rd,Walnut Creek,94596,APN-120025,Mixed Use,"4,511",Tri-Valley Holdings,Active,
P-026,5355 Pine Valley Rd,Walnut Creek,94596,APN-120026,Residential,"1,256",Ramirez Family Trust,Inactive,
P-027,2391 Pine Valley Rd,San Ramon,94582,APN-120027,Commercial,"5,061",Greenway Partners,Inactive,
P-028,2812 Camino Ramon,San Ramon,94582,APN-120028,Mixed Use,"3,733",Ramirez Family Trust,Active,
P-029,8254 Camino Ramon,San Ramon,94582,APN-120029,Commercial,"7,364",City Facilities Division,Active,
P-030,7821 Dougherty Rd,Dublin,94568,APN-120030,Mixed Use,"3,136",Ramirez Family Trust,Active,
P-031,630 Dougherty Rd,San Ramon,94582,APN-120031,Industrial,"14,275",Ramirez Family Trust,Active,
P-032,1934 Camino Ramon,Walnut Creek,94596,APN-120032,Municipal,"6,556",East Bay Retail Group,Inactive,
P-033,3630 Crow Canyon Pl,Walnut Creek,94596,APN-120033,Industrial,"15,267",Morgan Properties,Active,
P-034,4946 Alcosta Blvd,Walnut Creek,94596,APN-120034,Residential,657,East Bay Retail Group,Active,
P-035,4984 Crow Canyon Pl,Dublin,94568,APN-120035,Mixed Use,"4,928",Greenway Partners,Active,
P-036,6741 Market St,Dublin,94568,APN-120036,Residential,-450,East Bay Retail Group,Active,Invalid negative impervious area
P-037,7173 Alcosta Blvd,Danville,94582,APN-120037,Municipal,"7,218",Ramirez Family Trust,Active,
P-038,611 Dougherty Rd,Pleasanton,94566,APN-120038,Mixed Use,"5,621",Ramirez Family Trust,Inactive,
P-039,3004 Pine Valley Rd,Pleasanton,94566,APN-120039,Residential,906,Tri-Valley Holdings,Active,
P-040,2831 Oak Grove Rd,Dublin,94568,APN-120040,Municipal,"13,371",Tri-Valley Holdings,Active,
P-041,7529 Dougherty Rd,Pleasanton,94566,APN-120041,Commercial,"6,457",Canyon Creek LLC,Active,
P-042,6544 Market St,Pleasanton,94566,APN-120042,Commercial,"5,009",East Bay Retail Group,Active,
P-043,2585 Market St,San Ramon,94582,APN-120043,Municipal,"7,434",Bayview Properties,Active,
P-044,2814 Bollinger Canyon Rd,San Ramon,94582,APN-120044,Municipal,"10,614",Bayview Properties,Active,
P-045,1828 Camino Ramon,Walnut Creek,94596,APN-120045,Industrial,"17,473",Ramirez Family Trust,Inactive,
P-046,4675 Pine Valley Rd,Danville,94582,APN-120046,Industrial,"16,994",City Facilities Division,Active,
P-047,6703 Bollinger Canyon Rd,Pleasanton,94566,APN-120047,Industrial,"14,797",Canyon Creek LLC,Inactive,
P-048,6025 Pine Valley Rd,Dublin,94568,APN-120048,Industrial,"18,549",Bayview Properties,Active,
P-049,3823 Camino Ramon,Dublin,94568,APN-120049,Mixed Use,"3,270",Tri-Valley Holdings,Active,
P-050,3308 Market St,Pleasanton,94566,APN-120050,Industrial,"16,225",Tri-Valley Holdings,Active,
P-051,5971 Camino Ramon,Danville,94582,APN-120051,Municipal,"10,410",Tri-Valley Holdings,Active,
P-052,8536 Dougherty Rd,Danville,94582,APN-120052,Residential,667,Greenway Partners,Active,
P-053,4050 Crow Canyon Pl,Danville,94582,APN-120053,Residential,948,Tri-Valley Holdings,Active,
P-054,1632 Bollinger Canyon Rd,San Ramon,94582,APN-120054,Municipal,"11,444",Morgan Properties,Active,
P-055,7569 Oak Grove Rd,Walnut Creek,94596,APN-120055,Industrial,"18,754",City Facilities Division,Active,
P-056,2285 Camino Ramon,San Ramon,94582,APN-120056,Commercial,"9,141",Canyon Creek LLC,Inactive,
P-057,2871 Pine Valley Rd,Walnut Creek,94596,APN-120057,Municipal,"12,343",Greenway Partners,Active,
P-058,4863 Market St,Danville,94582,APN-120058,Municipal,"9,021",Greenway Partners,Inactive,
P-059,6911 Crow Canyon Pl,Danville,94582,APN-120059,Industrial,"17,893",Ramirez Family Trust,Active,
P-060,1122 Alcosta Blvd,Danville,94582,APN-120060,Commercial,"6,210",Canyon Creek LLC,Active,

